# $E$ (ev)	Int (arb. units)
-3.156704e+00	3.214790e+00
-3.167044e+00	3.234371e+00
-3.177383e+00	3.253952e+00
-3.187722e+00	3.273534e+00
-3.198061e+00	3.284295e+00
-3.208401e+00	3.274089e+00
-3.218740e+00	3.263883e+00
-3.229079e+00	3.253677e+00
-3.239418e+00	3.243470e+00
-3.249758e+00	3.233264e+00
-3.260097e+00	3.223058e+00
-3.270436e+00	3.212852e+00
-3.280775e+00	3.202646e+00
-3.291115e+00	3.192440e+00
-3.301454e+00	3.181572e+00
-3.311793e+00	3.170307e+00
-3.322132e+00	3.159042e+00
-3.332472e+00	3.147776e+00
-3.342811e+00	3.136511e+00
-3.353150e+00	3.125245e+00
-3.363489e+00	3.113980e+00
-3.373829e+00	3.102715e+00
-3.384168e+00	3.091449e+00
-3.394507e+00	3.080184e+00
-3.404847e+00	3.014846e+00
-3.415186e+00	2.946803e+00
-3.425525e+00	2.878759e+00
-3.435864e+00	2.810716e+00
-3.446204e+00	2.742672e+00
-3.456543e+00	2.674629e+00
-3.466882e+00	2.606585e+00
-3.477221e+00	2.538542e+00
-3.487561e+00	2.470499e+00
-3.497900e+00	2.399764e+00
-3.508239e+00	2.322127e+00
-3.518578e+00	2.244490e+00
-3.528918e+00	2.166852e+00
-3.539257e+00	2.089215e+00
-3.549596e+00	2.011578e+00
-3.559935e+00	1.933940e+00
-3.570275e+00	1.856303e+00
-3.580614e+00	1.778666e+00
-3.590953e+00	1.701028e+00
-3.601292e+00	1.682673e+00
-3.611632e+00	1.702443e+00
-3.621971e+00	1.722214e+00
-3.632310e+00	1.741985e+00
-3.642649e+00	1.761755e+00
-3.652989e+00	1.781526e+00
-3.663328e+00	1.801296e+00
-3.673667e+00	1.821067e+00
-3.684006e+00	1.840837e+00
-3.694346e+00	1.860608e+00
-3.704685e+00	1.809502e+00
-3.715024e+00	1.753608e+00
-3.725363e+00	1.697715e+00
-3.735703e+00	1.641821e+00
-3.746042e+00	1.585928e+00
-3.756381e+00	1.530034e+00
